0,title,view,follows,likes,collects,senti_result,punc_result,num_of_numbers,is_question,total_char,num_phrase
39,华农兄弟：挖了点五指毛桃，拿去河边炖鸡，结果全都淋成落汤鸡,3365000,4848000,151000,13000,0,0,0,0,29,
40,商家补发的黄油蟹终于到了，真正的黄油蟹却把我吃自闭了！,3361000,3084000,142000,14000,2,1,0,0,27,
41,听说爱吃螺蛳粉的朋友，都很可爱阿！,3343000,3626000,126000,15000,1,1,0,0,17,
42,试吃被誉为淡水虾王的罗氏沼虾，目前为止最爽的一期！,3342000,3084000,135000,13000,0,1,0,0,25,
43,厨师长教你：“竹笋烧竹鼠”的创新做法，味道很赞，也很漂亮哦,3326000,3365000,122000,13000,2,0,0,0,29,
44,网上卖的冷冻披萨，和外卖披萨有什么区别呢，小伙吃完直呼被坑了,3315000,5009000,93000,6158,0,0,0,0,30,
45,华农兄弟：把池子里的水抽干，看下还有多少鱼，顺便搞几条来烤,3246000,4848000,118000,6154,0,0,0,0,29,
46,不要被不良商家所蒙骗！真正的澳龙是这样的！,3184000,3084000,138000,14000,3,2,0,0,21,
47,华农兄弟：这个竹鼠光吃不长肉，这样下去不行的，拿去河边烤了,3171000,4848000,133000,9375,1,0,0,0,29,
48,用作弊的方法做一个二次元质感完美鸡蛋！流心满分蛋！半熟荷包蛋！水煎蛋！,3156000,829000,147000,80000,2,4,0,0,35,
49,华农兄弟：好不容易抓到一只笋虫，刚炸好准备吃，结果被狗吃了,3107000,4848000,115000,8240,1,0,0,0,29,
50,原来从小吃到大的“鸡蛋仔”这么简单，完成儿时的梦想一次吃到饱,3086000,5009000,152000,13000,2,0,0,0,30,
51,中国男子在日本吃寿司自助，100种寿司随便吃，店长差点都哭了？,3084000,2709000,134000,27000,2,1,1,1,31,['100种']
52,华农兄弟：兄弟带我们抓了一点蝗虫，油炸一下，真的很好吃,3065000,4848000,128000,7797,1,0,0,0,27,
53,华农兄弟：抓了点黄鳝在小河边烤，这玩意越烤越香，很好吃哦,3035000,4848000,96000,6478,2,0,0,0,28,
54,试吃顶级三文鱼的不同部位，果然一分钱一分货呀！,3020000,3084000,119000,12000,1,1,0,0,23,
55,试吃800元一只的超级大鲍鱼，感觉有点儿血亏,3017000,3084000,114000,10000,2,0,1,0,22,['800元']
