0,title,view,follows,likes,collects,senti_result,punc_result,num_of_numbers,is_question,total_char,num_phrase
190,只练引体向上和俯卧撑的人是什么样的身材？,207000,709,531,443,0,1,0,1,20,
191,超强干货！瘦小腿的方法其实超简单！,207000,56000,12000,35000,1,2,0,0,17,
192,减肥期间的动力来源，减肥想中断了就看看吧,205000,790,1318,4634,2,0,0,0,20,
193,【瘦猫】练出段奥娟同款腿！15分钟无道具瘦腿训练|改善腿型，美化腿部线条，美丽芭蕾,205000,294000,9563,33000,4,4,1,0,41,['15分钟']
194,八块腹肌是怎样练成的之新手减脂腹肌篇,204000,17000,5684,11000,3,0,0,0,18,
195,小伙子这么努力，一定可以减肥成功,204000,158000,903,625,2,0,0,0,16,
196,【8分钟到地狱】急速燃脂&#39;城市训练&#39;初体验!(新手向).原来我练的都是&quot;死肌肉&quot;?——Shuai的奇妙健身体验Ep1,200000,639000,10000,8940,3,6,3,1,76,"['8分钟', '39城市', '39城市']"
197,连续21天每天卷腹120个对比(未控制饮食)&lt;高清原速带总结版&gt;,198000,526,611,966,0,2,2,0,38,"['21天', '120个']"
198,碳水真的是肥胖根源？调整碳水摄入帮你更快减脂！,197000,70000,2864,2713,1,2,0,1,23,
199,「Jeremy Ethier」如何快速把背练宽（4个提示）,196000,232000,8449,29000,0,0,1,1,29,['4个']
200,100斤到90斤，我认为最重要的4件事|月瘦10斤零反弹|小基数减肥经验,196000,294000,3680,3023,3,2,4,0,36,"['100斤', '90斤', '4件', '10斤']"
201,不伤膝盖！过重人群家里4分钟快速燃脂运动,196000,4295,11000,29000,0,1,1,0,20,['4分钟']
202,【健身mv】流汗吧！健身少女/ダンベル何キロ持てる？TV动画OP真人版 才木玲佳 横川尚隆,195000,4143,3194,2029,1,4,0,1,45,
203,【自用】周六野10分钟超燃脂+十分钟不伤膝盖燃脂+林芊妤瘦腿+周六野5分钟瘦腿+周六野5分钟拉伸,195000,1603,2793,27000,0,2,3,0,48,"['10分钟', '5分钟', '5分钟']"
204,千万不要喝蛋白粉，这些副作用你一定要知道!,195000,97000,4072,2717,2,1,0,0,21,
205,女生多练练胸真的很好，谁练谁知道,193000,21000,890,1094,1,0,0,0,16,
206,【操帝版新宝岛——第三套广播体操遇上新宝岛】原来一套跳下来这么累,191000,464000,11000,2010,0,2,0,0,32,
207,【林芊妤·腹部合集】简易腹部法+床上减肚腩+一个月见效训练（重拾小蛮腰）,191000,46000,2106,23000,2,2,0,0,36,
208,圆肩驼背不要怕，可能是你不会呼吸！三招助你修正体态,189000,56000,7425,16000,2,1,0,0,25,
209,坚持撸铁一年，我的变化有多大？最适合女生的运动竟是力量训练！练完后躺着还能燃烧脂肪的神奇运动！,189000,13000,5624,3840,5,3,0,1,47,
210,世界上最贵的臀部，价值二十亿 网友：都是肉,189000,19,167,103,1,0,0,0,21,
211,火车上的肌肉男 ！！！,188000,8165,1218,2210,0,3,0,0,11,
212,韩国小姐姐在线教你练瑜伽5,187000,1747,981,5512,0,0,1,0,13,
213,随时随地五分钟改善头前伸猥琐颈，练出天鹅颈！,187000,237000,5708,22000,1,1,0,0,22,
214,60天减到10%体脂，并成功增肌。我是如何做到的？| 60天夏日挑战 终篇,186000,221000,5377,4690,2,2,2,1,37,"['60天减', '60天减']"
215,肌肉小狼狗在床上数腹肌,186000,6578,1286,2498,0,0,0,0,11,
216,【多肉】聊聊减肥时的心态问题|四个月120斤瘦到108斤|减肥时的想法,186000,74000,3658,4727,1,4,2,0,35,"['120斤', '108斤']"
217,7个晨起拉伸，每天坚持10分钟，身材、气质大改变,185000,72000,3618,16000,1,0,2,0,24,"['7个晨起', '10分钟']"
