0,title,view,follows,likes,collects,senti_result,punc_result,num_of_numbers,is_question,total_char,num_phrase
201,【整形干货】整容贷款的背后导致抑郁自杀陪酒做外围 | 网红医院只会让你整容失败|分享给正有此想法的你,280000,147000,2607,1659,3,4,0,0,50,
202,小猪姐姐！！鞠婧祎人间小樱桃仿妆,279000,932000,6639,4224,0,2,0,0,16,
203,【言生】哪吒之魔童降世 COS仿妆,277000,590000,22000,7423,0,2,0,0,17,
204,无屁话纯干货！秃头女孩生存必备！一秒三倍发量术！,277000,66000,12000,9627,2,3,0,0,24,
205,极速美白 黑黄皮专用 吐槽+种草 最最真实的变白经验,276000,422000,8268,8488,2,0,0,0,26,
206,【Katie Renae】法式女孩GRWM | the french beat,276000,297000,6966,13000,0,3,0,0,39,
207,这边建议亲看下这个欧莱雅小钢笔129呢,275000,42000,2014,2445,0,0,1,0,19,['129呢']
208,【仙爷】堪比整形！调整你脸型的8条化妆技巧大干货！画错丑10倍！,274000,1151000,19000,14000,1,5,2,0,32,"['8条', '10倍']"
209,【万用眼影公式】多色眼影盘只会买不会用？7大眼影正确VS错误画法+4大彩妆师常用色彩搭配原理，新手小白还不戳进来？,274000,80000,17000,35000,4,4,2,1,57,"['7大', '4大']"
210,夏日好看到哭的波光粼粼眼妆/高度近视也能大眼有神/化妆小心得分享,274000,39000,6080,13000,2,0,0,0,32,
211,智| 基础干货/4种常用的眼型调整方法，改变眼影搭配眼线的方式，圆眼/长眼/下垂眼/妩媚眼,274000,112000,15000,34000,1,1,1,0,45,['4种']
212,暮色紫罗兰 | 内双cutcrease | 橙紫撞色超深邃眼妆,274000,260000,11000,5774,1,2,0,0,31,
213,花了1753元，7款防晒伞硬核评测！结果竟然全部……,273000,994000,12000,2400,1,1,2,0,26,"['1753元', '7款']"
214,【Benny】本宫的真爱牙齿产品又搞什么幺蛾子？牙龈健康还不够，头部产品竟然也来参一脚？,272000,1531000,15000,1852,4,4,0,1,44,
215,传说中的高级脸发型，同款脸型的女生看过来，这款发型很适合你！颜值加分发色安利,272000,31000,420,555,1,1,0,0,38,
216,OMG！韩安冉找李嘉琪带货被拒绝？原因是这样！,272000,57,301,57,1,3,0,1,23,
217,有生之年6岁敖丙 古装经典+西装眼镜 哪吒视角【ONLee】,272000,292000,11000,2401,0,2,1,0,30,['6岁']
218,南韩神颜裴珠泫Irene仿妆♡,272000,374000,3843,3996,0,0,0,0,15,
219,【一花】 我用过最持久的粉底液？！/ 一整天通宵极限实测来了,271000,1207000,8615,2031,1,4,0,1,30,
