0,title,view,follows,likes,collects,senti_result,punc_result,num_of_numbers,is_question,total_char,num_phrase
117,90后主持人：是不是玩不起？,2397000,2180.0,43000.0,21000.0,0,1,1,1,14,['90后']
118,【朱一旦】31 奖励了一下销售三甲！,2377000,2550000.0,47000.0,4009.0,1,3,1,0,18,['31奖励']
119,用黄晓明的语气向真正的总裁说话会是什么下场？（一定要看到最后！）,2365000,13000.0,113000.0,16000.0,1,2,0,1,32,
120,人类身上两大终极欲望对决！,2358000,47000.0,39000.0,31000.0,1,1,0,0,13,
121,人类身上两大终极欲望对决！,2358000,47000.0,39000.0,31000.0,1,1,0,0,13,
122,【恶搞/WORLD ORDER/新宝岛/踩点向】当日本大叔“闲”下来就“*10000物皆可新宝岛”（滑稽）,2329000,3897.0,75000.0,59000.0,2,3,1,0,53,['10000物']
123,诶~你看这只狗，它顺拐了哈哈哈哈哈哈哈,2305000,883.0,46000.0,35000.0,2,1,0,0,19,
124,妈见打2.0 如果up主在超市模仿黄晓明，会被妈妈怎么样！！！,2304000,192000.0,139000.0,24000.0,0,3,1,1,31,['20如果']
125,童言无忌，每一句都是暴击9999,2268000,689.0,62000.0,36000.0,0,0,1,0,16,
126,两代直男，在线聊死天,2263000,1044.0,36000.0,13000.0,0,0,0,0,10,
127,这绝对是故意的，还嘬一口,2259000,8344.0,3858.0,3940.0,2,0,0,0,12,
128,如何激怒一位游戏玩家？,2253000,5798.0,106000.0,31000.0,1,1,0,1,11,
129,当国外小朋友从中国回去后……,2246000,1044.0,39000.0,9172.0,0,0,0,0,14,
130,扎哥经典语录！,2238000,479.0,21000.0,16000.0,0,1,0,0,7,
131,核心技术又被老外掌握了,2228000,11000.0,31000.0,12000.0,1,0,0,0,11,
132,【朱一旦】55 来到了西湖，不禁诗性大发，写了一首经典,2218000,2550000.0,62000.0,4121.0,0,2,1,0,27,['55来到']
133,papi酱不定期更新的的抖音合集——7月（下）,2175000,5850000.0,83000.0,8725.0,0,0,1,0,23,['7月']
134,【香港神剧】完  全  一  致，大  预  言  家,2154000,5836000.0,85000.0,9081.0,0,2,0,0,27,
135,精准打击,2146000,5800.0,40000.0,22000.0,1,0,0,0,4,
136,乔碧萝大妈上韩国新闻，女主持忍笑播报，男主持笑喷了,2139000,104000.0,18000.0,8586.0,0,0,0,0,25,
137,一年前我眼中的蔡徐坤，现在我眼中的蔡徐坤，蔡徐坤眼中的网友,2132000,285000.0,186000.0,26000.0,0,0,0,0,29,
138,只有无限接近死亡，才会明白人生的真谛,2128000,924.0,43000.0,26000.0,2,0,0,0,18,
139,告敬汉卿侵权的公司居然就在我家门口！我决定前去一探究竟,2117000,3572.0,74000.0,8738.0,2,1,0,0,27,
140,一男子杠上拼夕夕上的砍价，邀请一千六百多人帮忙砍价，最终还没有砍到0元——皮皮虾搬运工,2093000,381.0,21000.0,4896.0,2,0,1,0,43,['0元']
141,papi酱不定期更新的的抖音合集——8月（上）,2029000,5850000.0,73000.0,5840.0,0,0,1,0,23,['8月']
142,无限接近死亡，才能体验生命真谛！哈哈哈,2025000,2440.0,39000.0,39000.0,3,1,0,0,19,
143,如果up主在家模仿黄晓明霸道总裁台词，会被妈妈怎么样！,2023000,192000.0,147000.0,35000.0,0,1,0,1,27,
144,男人最真实的一面,2017000,147.0,13000.0,4346.0,1,0,0,0,8,
145,这种画风的召唤师峡谷你会喜欢吗？,2001000,47000.0,66000.0,42000.0,1,1,0,1,16,
146,【朱一旦】40 这次我拿出了别墅加劳力士，只为枯燥的消灭单身病毒,1999000,2550000.0,73000.0,9145.0,1,2,1,0,32,['40这次']
147,华春莹：呵呵,1989000,5836000.0,76000.0,7262.0,0,0,0,0,6,
148,【刘翔】当跨栏加上特效后,1977000,4362.0,94000.0,23000.0,0,2,0,0,12,
149,把豆油倒入可乐中，放入曼妥思，还会像喷泉一样喷出来么,1971000,509000.0,113000.0,17000.0,0,0,0,0,26,
150,鬼火少年挑衅自行车少年居然被自行车主拿烟花轰炸,1950000,1394.0,78000.0,64000.0,3,0,0,0,23,
151,for play！,1949000,630.0,34000.0,28000.0,0,1,0,0,9,
152,窝窝头一块钱四个啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,1917000,2694.0,50000.0,24000.0,2,0,0,0,25,
153,【前方高能】这只狗让我笑了一天！,1914000,4778.0,18000.0,7594.0,0,3,0,0,16,
154,在楼下小孩蹭网玩的起劲的是拔掉wifi会怎么样,1912000,711.0,24000.0,2603.0,0,0,0,1,23,
155,这！就是街舞！苏卡不列 名场面,1911000,3812.0,128000.0,75000.0,0,2,0,0,15,
156,土到极致就是潮,1887000,159.0,7503.0,7966.0,0,0,0,0,7,
157,不同软件上的蔡徐坤有不一样的表现 生日快乐就完事了,1873000,6303.0,73000.0,23000.0,1,0,0,0,25,
158,全网言情小说第一渣男！女主没有原谅！没有原谅！《掌中之物》吐槽,1871000,1088000.0,81000.0,16000.0,4,3,0,0,31,
159,逃犯诉说犯罪经历，全车警察都笑了！,1859000,795000.0,52000.0,10000.0,2,1,0,0,17,
160,【互动视频】不是真正的爱坤绝对无法闯关成功,1854000,209000.0,88000.0,30000.0,5,2,0,0,21,
161,史诗级抽筋（转自最右）,1830000,286.0,18000.0,9334.0,1,0,0,0,11,
162,档案解密：朱一旦真的很有钱吗？,1829000,209000.0,60000.0,12000.0,1,1,0,1,15,
163,日本教科书般的求婚，经典。,1820000,138000.0,67000.0,63000.0,0,0,0,0,13,
164,父爱如山。。。。蹦地裂。,1820000,6308.0,17000.0,3802.0,0,0,0,0,12,
