link,title,view,danmu,author
https://www.bilibili.com/video/av63703042,眼镜妆超详细干货技巧！500+度眼镜也不能让我变丑 | 大果子,38.9万,1755,古月大果子
https://www.bilibili.com/video/av60766321,MAC尤雾弹316&amp;314|柔雾小辣椒or白桃奶茶？|热门口红试色|学生党|种草,38.8万,191,梨呢万物
https://www.bilibili.com/video/av65349454,教程：「肿单」可拥有的「6种」眼皮，随心所欲的百变单眼皮！,38.8万,3350,Vivekatt
https://www.bilibili.com/video/av58086741,（女装大佬）答应我这是最后一次给你撑场子,38.6万,90,胡屿simple
https://www.bilibili.com/video/av58906977,【全干货|此刻不看完，余生悔断肠！价值万元的专业保姆级双眼皮贴教程！】『Retin Du 杜哥』,38.4万,1903,用汽油煎蛋的杜哥
https://www.bilibili.com/video/av63335126,【狗君】哪吒之魔童降世：申公豹COS仿妆,38.3万,3623,狗君_
https://www.bilibili.com/video/av60685710,【仿妆】拥有双手你也可以做藕霸，我命由我不由天，留守老人的热情呐喊,38.0万,1508,辫鸽er
https://www.bilibili.com/video/av62498304,【Benny】8小时大制作，灵笼脊蛊仿妆，请叫我脊蛊女王～,38.0万,6448,千户长生
https://www.bilibili.com/video/av57192516,熬过这三个阶段你就是长发男！！！,37.9万,943,李白白LEO
https://www.bilibili.com/video/av66201177,长在皮肤的垃圾,37.9万,27,丑小何
https://www.bilibili.com/video/av55408452,盘一盘李宣美颜值飞升背后的小动作，手把手教你换头成宣美,37.7万,1374,谷的奈
https://www.bilibili.com/video/av61180745,夏天一定要学会这个低马尾！简直不要太撩人！,37.7万,486,陳奕伊Chen11
https://www.bilibili.com/video/av55610966,[双语]50万拍卖下奥黛丽赫本用过的口红 嘴上沾满赫本的DNA,36.7万,885,张烟囱
https://www.bilibili.com/video/av55219771,【M·A·C x Vivekatt】夏天透气底妆：一颗绿豆大的粉底化全脸！,36.6万,1416,Vivekatt
https://www.bilibili.com/video/av58519880,【鸭鸭】Taupe是仙女啊啊啊啊！3CE change mode和Taupe试色对比,36.4万,144,梨呢万物
https://www.bilibili.com/video/av55663167,【Hania】瑕疵皮夏日持妆17h极限挑战 爬山 雨中竞走vlog 毕业快乐出游,36.3万,2627,前进的Hania
https://www.bilibili.com/video/av58876764,VLOG：一人行记录 去首尔的古着市场,36.0万,1866,hiisseven
https://www.bilibili.com/video/av56965117,【吾蕊】五款简单易学的懒人编发！手残如我都可以学会你们肯定可以GET,36.0万,1244,吾蕊-
https://www.bilibili.com/video/av65064927,大佬甜er |经典回忆！「春光灿烂猪八戒」小龙女仿妆～,35.3万,4192,大佬甜er
https://www.bilibili.com/video/av54620515,【嫂】十分钟get日常可出门厌世脸|小松菜奈&amp;水原希子灵感妆 | 原来丧气眼才是放大眼睛的最终奥义,35.1万,2934,宝剑嫂
https://www.bilibili.com/video/av59105665,如何用6元店买的化妆品画出6000元的效果,34.7万,2.0万,一之濑asuka
https://www.bilibili.com/video/av54231287,收快递一次收了100多个产品是什么感觉？！！,34.7万,665,拉宏桑
https://www.bilibili.com/video/av59805577,去日本集齐“五大神水”是什么感受？检测费就花了1万多元！,34.6万,6148,老爸评测
